Cód,UF,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,tx2008,tx2009,tx2010,tx2011,tx2012,tx2013,tx2014,tx2015,tx2016,tx2017,tx2018,lat,lon
11,Rondônia,72,78,76,69,62,80,76,104,102,110,122,4.820680720290044,5.186418498757919,4.864283295859151,4.376908950778804,3.8993440925880387,4.629056355289333,4.346505723947702,5.881674286451111,5.706999298934302,6.091523478946588,6.941327011036141,-10.83,-63.34
12,Acre,25,29,28,29,38,41,47,37,47,61,55,3.6760651398742787,4.1960146542194545,3.817007220959732,3.8853890614239814,5.007999620446345,5.280354633768769,5.948606570552372,4.604779263061083,5.754958754088164,7.3527727788298,6.327184460434965,-8.77,-70.55
13,Amazonas,141,145,151,185,175,212,208,252,190,205,229,4.220174589520678,4.273039566283537,4.334117397175935,5.228371006337069,4.87331470334741,5.567342389718695,5.369483726721158,6.398641456696433,4.748021262139003,5.044770492472956,5.61190468780288,-3.47,-65.1
14,Roraima,26,28,31,31,33,27,11,42,44,42,22,6.298709006911621,6.6429576345376855,6.88156384648341,6.736714004759163,7.028394714647175,5.5319706928485965,2.213564724632548,8.305894218504346,8.556499147267074,8.036185796615618,3.8156817582661544,1.99,-61.33
15,Pará,175,150,154,173,190,199,179,235,256,283,335,2.390223847877959,2.0185654190138096,2.031380609364058,2.2500865893148463,2.4429308844708415,2.496971637664571,2.217013685043357,2.8745780027750074,3.0945067187059547,3.3824857517269797,3.93492826743229,-3.79,-52.48
16,Amapá,20,22,24,31,20,38,34,49,33,40,55,3.2617594582869893,3.5109613810207008,3.5846255410544177,4.530117242356888,2.862860398338396,5.170096163788647,4.5278274950992925,6.3912015328449066,4.218357524974595,5.014278157052206,6.630548261952468,1.41,-51.77
17,Tocantins,76,76,84,89,89,87,90,95,98,110,121,5.935121314660608,5.88212075219941,6.071799023452324,6.353095028025001,6.277800428019023,5.885679802782371,6.012506012506012,6.270105588578112,6.393102755427288,7.095886063292723,7.780204715832846,-9.46,-48.26
21,Maranhão,150,136,170,197,180,219,232,241,246,280,282,2.3788616259011723,2.1359675257548996,2.5856343070477243,2.9642955863143436,2.6808397700792668,3.2232896364173445,3.386424292105953,3.490608163880722,3.537514042205131,3.999869147137901,4.008497446004331,-5.42,-45.44
22,Piauí,208,198,187,222,228,220,239,268,312,305,316,6.684060219526389,6.295056949599803,5.996741877140548,7.069325242458749,7.2134823782218636,6.909187523514792,7.481098488192073,8.364471221849497,9.713029780398358,9.474235825223024,9.679797802502105,-6.6,-42.28
23,Ceará,505,458,455,515,478,573,542,546,529,633,632,5.9759579519764925,5.3580981980294595,5.38309856122198,6.037404947506816,5.554261239680898,6.527254534220585,6.129286556699123,6.13175938032844,5.901605180828418,7.01738048835647,6.9636893185269715,-5.2,-39.53
24,Rio Grande do Norte,135,138,128,172,162,142,159,142,168,174,181,4.345816234424273,4.398348898070176,4.040369605435813,5.377256767449589,5.018279547908771,4.208705559255462,4.66479488104773,4.125298684697902,4.8345351565669965,4.961501316080996,5.202629483674953,-5.81,-36.59
25,Paraíba,147,153,132,143,171,190,153,209,166,234,225,3.927746563622547,4.058380197014465,3.5045537959627544,3.771778393512541,4.482105782414472,4.853846839673096,3.8794234618910037,5.2615652476888135,4.150607026277593,5.8128587390866056,5.62993182027456,-7.28,-36.72
26,Pernambuco,332,300,252,264,300,292,292,284,369,406,399,3.801151245060221,3.4051223937193202,2.864792698143614,2.9780349616792328,3.359075797321428,3.170966113014535,3.1473226146878432,3.0390020602079812,3.9212202412326187,4.28574474737646,4.20163908151959,-8.38,-37.86
27,Alagoas,103,107,83,100,102,140,114,106,106,98,131,3.2933021268976455,3.3902515376533375,2.6598352696720453,3.18128488278874,3.2222682746838385,4.241222562698145,3.431946606135959,3.1727673595272217,3.155735862526619,2.9029958028012723,3.9424344382181404,-9.62,-36.82
28,Sergipe,106,110,125,121,101,117,109,116,113,125,133,5.301659419398272,5.446410048329462,6.044437739148179,5.789975112677222,4.784763796108424,5.328689024084764,4.91085226264139,5.171790380202387,4.987247211665392,5.463009742513054,5.83766549562219,-10.57,-37.45
29,Bahia,362,362,402,410,451,453,426,477,486,577,544,2.4961105150861957,2.473122892892463,2.8679652984759976,2.908310063306107,3.1815813108129114,3.0111398214467204,2.816273645542609,3.1374697155242397,3.181343241668317,3.760317983437266,3.672544831207072,-13.29,-41.71
31,Minas Gerais,998,1071,1047,1208,1204,1098,1284,1234,1248,1445,1448,5.0276926115084795,5.346001343238993,5.342564522820201,6.123058989033287,6.063862341863636,5.331816727686347,6.192697950626931,5.913048195032455,5.943547726497745,6.842006377412837,6.8819127459012455,-18.1,-44.38
32,Espírito Santo,144,141,153,156,168,156,165,188,171,204,229,4.1695066604973405,4.0433597279650515,4.352833267708919,4.398014691060612,4.695272615074005,4.063170846436625,4.247050680699266,4.7838233486712545,4.303297407930197,5.079231024341468,5.764794375574591,-19.19,-40.34
33,Rio de Janeiro,327,312,497,424,444,424,501,520,556,596,688,2.0601848672554217,1.9487297935614343,3.108206421679546,2.631468214036177,2.735444616025824,2.59023375576747,3.0435255130360392,3.1419894013446745,3.3421503587762342,3.564815889221791,4.009333355089406,-22.25,-42.66
35,São Paulo,1733,1863,1816,1898,1972,2126,2164,2035,1891,2009,2134,4.225629807812115,4.501735560417386,4.40112268374257,4.563906253614395,4.706306993121131,4.869036543859839,4.914238811658936,4.583696312527811,4.22572674734639,4.455052599557564,4.686099824554531,-22.19,-48.79
41,Paraná,577,627,568,568,611,631,600,698,738,734,891,5.448448377273606,5.86735455394209,5.438255407665221,5.403169167994708,5.7762729426045505,5.737685912162485,5.41433564477338,6.252789344243644,6.564247797685969,6.483588042355673,7.850955556454318,-24.89,-51.55
42,Santa Catarina,468,492,515,492,522,544,570,616,641,700,708,7.732230862604702,8.040867217335325,8.242062493718429,7.788440624379655,8.204020472960208,8.199866933041756,8.47313006938453,9.033330938131948,9.275668676587822,9.998341703611729,10.006368459926614,-27.45,-50.95
43,Rio Grande do Sul,1160,1112,1036,1042,1180,1140,1111,1141,1168,1345,1219,10.686095216056264,10.18862890374751,9.687739651160953,9.708348900543463,10.958369803190465,10.211354434947983,9.913204584808046,10.144050856456612,10.348646613210471,11.878587587361713,10.75942188628818,-30.17,-53.5
50,Mato Grosso do Sul,182,205,188,209,211,227,200,230,219,258,267,7.790895781786426,8.684608078464798,7.6765274656352895,8.435780301605382,8.438767939880778,8.773730137840325,7.6345872761205,8.675202311375642,8.164373061893404,9.509252539578577,9.716075884372147,-20.51,-54.54
51,Mato Grosso,173,178,153,151,183,168,148,136,170,195,223,5.849070319011,5.929988819639057,5.040983525538677,4.909074831205851,5.874165740067845,5.279510815612142,4.5900624527619,4.164770573201048,5.142895347222579,5.830391228221246,6.4787951649013165,-12.64,-55.42
52,Goiás,357,295,295,321,378,414,444,422,471,485,490,6.107789655936403,4.977810775694785,4.913564569568413,5.278983593379464,6.141352488287564,6.434518362312497,6.806452394230949,6.383608587375491,7.034202502891715,7.1546881942629135,7.079737055676063,-15.98,-49.86
53,Distrito Federal,116,129,147,96,135,124,135,125,152,166,183,4.536284212284023,4.9484346259999965,5.719488280885237,3.678163738056504,5.097163258741069,4.444825201872132,4.732903001431791,4.288414761752829,5.10544078763516,5.461525200003685,6.15187465773894,-15.83,-47.86
